author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/292125772/;Москва;sale;flat;20;37;1;39.6;29053268;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
КомСервис;real_estate_agent;https://www.cian.ru/sale/flat/285925205/;Москва;sale;flat;4;9;2;75.3;135540000;Хамовники;2-й Неопалимовский переулок;3;Парк Культуры;Клубный особняк High Garden
Absolute Premium;developer;https://www.cian.ru/sale/flat/295473855/;Москва;sale;flat;6;18;2;66.2;60490000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/297935793/;Москва;sale;flat;3;5;2;52.0;39000000;Донской;4-й Верхний Михайловский проезд;4к1;Шаболовская;
Трансстройинвест;developer;https://www.cian.ru/sale/flat/298630307/;Москва;sale;flat;3;23;2;41.6;17970826;Очаково-Матвеевское;Очаково мкр;;Озёрная;ОМ ЖК
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/292853086/;Москва;sale;flat;5;7;2;70.2;29990000;Беговой;Беговая ;4;Беговая;
Sminex;developer;https://www.cian.ru/sale/flat/297972141/;Москва;sale;flat;2;5;2;88.5;196080000;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299502767/;Москва;sale;flat;5;13;2;60.0;82000000;Хамовники; Усачева;11;Спортивная;Садовые кварталы
MR Group;developer;https://www.cian.ru/sale/flat/271758050/;Москва;sale;flat;4;41;1;38.59;23715078;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/299138199/;Москва;sale;flat;5;18;2;60.0;82000000;Хамовники; Усачева;11Б;Спортивная;Садовые кварталы
ANT Development;developer;https://www.cian.ru/sale/flat/291563636/;Москва;sale;flat;28;34;2;51.2;48858726;Дорогомилово;Поклонная ;9;Кутузовская;Поклонная 9
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299250886/;Москва;sale;flat;14;17;2;69.0;86000000;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
